"","Year","EventName","DriverId","TeamName","engine","works","Q1time","Rainfall","FullThrottlePct","SessionCondition","FastestQ1","GapToFastest","Circuit_Match","City","Country","Track.Length..km.","Turns","Direction","Circuit.Type","First.Grand.Prix","Last.Grand.Prix","Races","Best.Lap.Timing","Best.Lap.Driver","Best.Lap.Year","Best.Lap.Time","first.year","last.year"
"29",2014,"Malaysian Grand Prix","bottas","Williams","Mercedes",0,119.709,NA,NA,NA,117.183,2.526,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"30",2014,"Malaysian Grand Prix","kevin_magnussen","McLaren","Mercedes",0,120.356,NA,NA,NA,117.183,3.17299999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"31",2014,"Malaysian Grand Prix","kvyat","Toro Rosso","Renault",0,121.175,NA,NA,NA,117.183,3.99199999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"32",2014,"Malaysian Grand Prix","grosjean","Lotus","Renault",0,120.202,NA,NA,NA,117.183,3.01899999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"33",2014,"Malaysian Grand Prix","raikkonen","Ferrari","Ferrari",1,119.257,NA,NA,NA,117.183,2.074,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"34",2014,"Malaysian Grand Prix","kobayashi","Caterham","Renault",0,123.595,NA,NA,NA,117.183,6.41199999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"35",2014,"Malaysian Grand Prix","ericsson","Caterham","Renault",0,124.407,NA,NA,NA,117.183,7.22399999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"36",2014,"Malaysian Grand Prix","chilton","Marussia","Ferrari",0,124.388,NA,NA,NA,117.183,7.205,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"37",2014,"Malaysian Grand Prix","ricciardo","Red Bull","Renault",0,118.913,NA,NA,NA,117.183,1.72999999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
"38",2014,"Malaysian Grand Prix","gutierrez","Sauber","Ferrari",0,121.134,NA,NA,NA,117.183,3.95099999999999,"Sepang International Circuit","Sepang"," Malaysia",5.543,15,"Clockwise","Race","1999 Malaysian Grand Prix","2017 Malaysian Grand Prix",19,"1:34.080","Sebastian Vettel",2017,94.08,1999,2017
