Year,EventName,EventDate,Driver,Team,LapTime,FullThrottlePct
2019,Chinese Grand Prix,2019-04-14,BOT,Mercedes,0 days 00:01:31.547000,58.68613138686132
2019,Azerbaijan Grand Prix,2019-04-28,BOT,Mercedes,0 days 00:01:40.495000,63.62433862433863
2019,Spanish Grand Prix,2019-05-12,BOT,Mercedes,0 days 00:01:15.406000,64.74694589877836
2019,Monaco Grand Prix,2019-05-26,HAM,Mercedes,0 days 00:01:10.166000,42.8842504743833
2019,Canadian Grand Prix,2019-06-09,VET,Ferrari,0 days 00:01:10.240000,61.74242424242424
2019,French Grand Prix,2019-06-23,HAM,Mercedes,0 days 00:01:28.319000,61.53846153846154
2019,Austrian Grand Prix,2019-06-30,LEC,Ferrari,0 days 00:01:03.003000,70.85953878406708
2019,British Grand Prix,2019-07-14,BOT,Mercedes,0 days 00:01:25.093000,71.04851330203444
2019,German Grand Prix,2019-07-28,HAM,Mercedes,0 days 00:01:11.767000,65.06717850287907
2019,Hungarian Grand Prix,2019-08-04,VER,Red Bull Racing,0 days 00:01:14.572000,59.464285714285715
2019,Belgian Grand Prix,2019-09-01,LEC,Ferrari,0 days 00:01:42.519000,63.82428940568475
2019,Italian Grand Prix,2019-09-08,LEC,Ferrari,0 days 00:01:19.307000,71.83333333333334
2019,Singapore Grand Prix,2019-09-22,LEC,Ferrari,0 days 00:01:36.217000,45.73863636363637
2019,Russian Grand Prix,2019-09-29,LEC,Ferrari,0 days 00:01:31.628000,65.06550218340611
2019,Japanese Grand Prix,2019-10-13,VET,Ferrari,0 days 00:01:27.064000,66.00910470409713
2019,Mexican Grand Prix,2019-10-27,VER,Red Bull Racing,0 days 00:01:14.758000,50.089445438282645
2019,United States Grand Prix,2019-11-03,BOT,Mercedes,0 days 00:01:32.029000,60.02865329512894
2019,Brazilian Grand Prix,2019-11-17,VER,Red Bull Racing,0 days 00:01:07.503000,61.22047244094488
2019,Abu Dhabi Grand Prix,2019-12-01,HAM,Mercedes,0 days 00:01:34.779000,57.74647887323944
2020,Pre-Season Test 1,2020-02-21,BOT,Mercedes,0 days 00:01:02.939000,70.49180327868852
2020,Pre-Season Test 2,2020-02-28,BOT,Mercedes,0 days 00:01:02.939000,70.49180327868852
2020,Austrian Grand Prix,2020-07-05,BOT,Mercedes,0 days 00:01:02.939000,70.49180327868852
2020,Styrian Grand Prix,2020-07-12,HAM,Mercedes,0 days 00:01:17.825000,46.40718562874252
2020,Hungarian Grand Prix,2020-07-19,HAM,Mercedes,0 days 00:01:13.447000,57.03245749613601
2020,British Grand Prix,2020-08-02,HAM,Mercedes,0 days 00:01:24.303000,67.07482993197279
2020,70th Anniversary Grand Prix,2020-08-09,BOT,Mercedes,0 days 00:01:25.154000,70.32520325203252
2020,Spanish Grand Prix,2020-08-16,HAM,Mercedes,0 days 00:01:15.584000,62.2154779969651
2020,Belgian Grand Prix,2020-08-30,HAM,Mercedes,0 days 00:01:41.252000,71.28263337116913
2020,Italian Grand Prix,2020-09-06,HAM,Mercedes,0 days 00:01:18.887000,75.9825327510917
2020,Tuscan Grand Prix,2020-09-13,HAM,Mercedes,0 days 00:01:15.144000,72.06106870229007
2020,Russian Grand Prix,2020-09-27,HAM,Mercedes,0 days 00:01:31.304000,65.4911838790932
2020,Eifel Grand Prix,2020-10-11,BOT,Mercedes,0 days 00:01:25.269000,58.142664872139974
2020,Portuguese Grand Prix,2020-10-25,BOT,Mercedes,0 days 00:01:16.466000,64.84848484848484
2020,Emilia Romagna Grand Prix,2020-11-01,BOT,Mercedes,0 days 00:01:13.609000,71.31661442006269
2020,Turkish Grand Prix,2020-11-15,STR,Racing Point,0 days 00:01:47.765000,33.2620320855615
2020,Bahrain Grand Prix,2020-11-29,HAM,Mercedes,0 days 00:01:27.264000,65.39473684210526
2020,Sakhir Grand Prix,2020-12-06,BOT,Mercedes,0 days 00:00:53.377000,67.88008565310493
2020,Abu Dhabi Grand Prix,2020-12-13,VER,Red Bull Racing,0 days 00:01:35.246000,58.93719806763285
2021,Pre-Season Test,2021-03-14,VER,Red Bull Racing,0 days 00:01:32.910000,59.04645476772616
2021,Bahrain Grand Prix,2021-03-28,VER,Red Bull Racing,0 days 00:01:28.997000,62.38767650834403
2021,Emilia Romagna Grand Prix,2021-04-18,HAM,Mercedes,0 days 00:01:14.411000,71.1864406779661
2021,Portuguese Grand Prix,2021-05-02,HAM,Mercedes,0 days 00:01:17.968000,58.529411764705884
