Year,EventName,DriverId,TeamName,engine,works,Q1time
2014,Monaco Grand Prix,massa,Williams,Mercedes,0,78.209
2014,Monaco Grand Prix,grosjean,Lotus,Renault,0,78.33500000000001
2014,Monaco Grand Prix,jules_bianchi,Marussia,Ferrari,0,79.332
2014,Monaco Grand Prix,kevin_magnussen,McLaren,Mercedes,0,77.97800000000001
2014,Monaco Grand Prix,ericsson,Caterham,Renault,0,81.732
2014,Monaco Grand Prix,raikkonen,Ferrari,Ferrari,1,77.902
2014,Monaco Grand Prix,kobayashi,Caterham,Renault,0,80.133
2014,Monaco Grand Prix,chilton,Marussia,Ferrari,0,79.928
2014,Monaco Grand Prix,gutierrez,Sauber,Ferrari,0,78.741
2014,Monaco Grand Prix,bottas,Williams,Mercedes,0,78.407
2014,Monaco Grand Prix,vergne,Toro Rosso,Renault,0,77.557
2014,Monaco Grand Prix,sutil,Sauber,Ferrari,0,78.745
2014,Monaco Grand Prix,kvyat,Toro Rosso,Renault,0,78.616
2014,Monaco Grand Prix,vettel,Red Bull,Renault,0,78.383
2014,Monaco Grand Prix,perez,Force India,Mercedes,0,78.108
2014,Monaco Grand Prix,maldonado,Lotus,Renault,0,78.58500000000001
2014,Canadian Grand Prix,ricciardo,Red Bull,Renault,0,77.113
2014,Canadian Grand Prix,rosberg,Mercedes,Mercedes,1,76.471
2014,Canadian Grand Prix,vettel,Red Bull,Renault,0,77.47
2014,Canadian Grand Prix,button,McLaren,Mercedes,0,76.631
2014,Canadian Grand Prix,hulkenberg,Force India,Mercedes,0,76.89699999999999
2014,Canadian Grand Prix,alonso,Ferrari,Ferrari,1,77.01
2014,Canadian Grand Prix,bottas,Williams,Mercedes,0,76.77199999999999
2014,Canadian Grand Prix,vergne,Toro Rosso,Renault,0,77.178
2014,Canadian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,76.446
2014,Canadian Grand Prix,raikkonen,Ferrari,Ferrari,1,77.013
2014,Canadian Grand Prix,perez,Force India,Mercedes,0,78.235
2014,Canadian Grand Prix,massa,Williams,Mercedes,0,76.666
2014,Canadian Grand Prix,sutil,Sauber,Ferrari,0,77.519
2014,Canadian Grand Prix,gutierrez,Sauber,Ferrari,0,NA
2014,Canadian Grand Prix,grosjean,Lotus,Renault,0,77.732
2014,Canadian Grand Prix,kvyat,Toro Rosso,Renault,0,76.938
2014,Canadian Grand Prix,hamilton,Mercedes,Mercedes,1,75.75
2014,Canadian Grand Prix,kobayashi,Caterham,Renault,0,79.27799999999999
2014,Canadian Grand Prix,maldonado,Lotus,Renault,0,78.328
2014,Canadian Grand Prix,ericsson,Caterham,Renault,0,79.82
2014,Canadian Grand Prix,chilton,Marussia,Ferrari,0,78.348
2014,Canadian Grand Prix,jules_bianchi,Marussia,Ferrari,0,78.35900000000001
2014,Austrian Grand Prix,rosberg,Mercedes,Mercedes,1,69.695
2014,Austrian Grand Prix,hamilton,Mercedes,Mercedes,1,69.514
2014,Austrian Grand Prix,bottas,Williams,Mercedes,0,70.356
2014,Austrian Grand Prix,massa,Williams,Mercedes,0,70.292
2014,Austrian Grand Prix,alonso,Ferrari,Ferrari,1,70.405
2014,Austrian Grand Prix,perez,Force India,Mercedes,0,70.124
2014,Austrian Grand Prix,kevin_magnussen,McLaren,Mercedes,0,70.081
2014,Austrian Grand Prix,ricciardo,Red Bull,Renault,0,70.395
2014,Austrian Grand Prix,hulkenberg,Force India,Mercedes,0,70.389
2014,Austrian Grand Prix,raikkonen,Ferrari,Ferrari,1,70.285
2014,Austrian Grand Prix,button,McLaren,Mercedes,0,70.252
2014,Austrian Grand Prix,maldonado,Lotus,Renault,0,70.821
2014,Austrian Grand Prix,sutil,Sauber,Ferrari,0,70.825
2014,Austrian Grand Prix,grosjean,Lotus,Renault,0,70.461
2014,Austrian Grand Prix,jules_bianchi,Marussia,Ferrari,0,71.412
2014,Austrian Grand Prix,kobayashi,Caterham,Renault,0,71.673
2014,Austrian Grand Prix,chilton,Marussia,Ferrari,0,71.775
2014,Austrian Grand Prix,ericsson,Caterham,Renault,0,72.673
2014,Austrian Grand Prix,gutierrez,Sauber,Ferrari,0,71.349
2014,Austrian Grand Prix,vergne,Toro Rosso,Renault,0,70.161
2014,Austrian Grand Prix,vettel,Red Bull,Renault,0,70.63
2014,Austrian Grand Prix,kvyat,Toro Rosso,Renault,0,69.678
2014,British Grand Prix,hamilton,Mercedes,Mercedes,1,101.058
2014,British Grand Prix,bottas,Williams,Mercedes,0,105.318
2014,British Grand Prix,ricciardo,Red Bull,Renault,0,104.71
2014,British Grand Prix,button,McLaren,Mercedes,0,104.425
2014,British Grand Prix,vettel,Red Bull,Renault,0,105.086
2014,British Grand Prix,alonso,Ferrari,Ferrari,1,105.935
2014,British Grand Prix,kevin_magnussen,McLaren,Mercedes,0,102.507
2014,British Grand Prix,hulkenberg,Force India,Mercedes,0,101.271
2014,British Grand Prix,kvyat,Toro Rosso,Renault,0,101.032
2014,British Grand Prix,vergne,Toro Rosso,Renault,0,103.04
2014,British Grand Prix,perez,Force India,Mercedes,0,102.146
2014,British Grand Prix,grosjean,Lotus,Renault,0,103.121
2014,British Grand Prix,sutil,Sauber,Ferrari,0,102.603
2014,British Grand Prix,jules_bianchi,Marussia,Ferrari,0,101.169
2014,British Grand Prix,kobayashi,Caterham,Renault,0,109.625
2014,British Grand Prix,chilton,Marussia,Ferrari,0,102.082
2014,British Grand Prix,maldonado,Lotus,Renault,0,103.892
2014,British Grand Prix,rosberg,Mercedes,Mercedes,1,100.38
2014,British Grand Prix,ericsson,Caterham,Renault,0,109.421
2014,British Grand Prix,gutierrez,Sauber,Ferrari,0,103.285
2014,British Grand Prix,massa,Williams,Mercedes,0,105.695
2014,British Grand Prix,raikkonen,Ferrari,Ferrari,1,106.684
2014,German Grand Prix,rosberg,Mercedes,Mercedes,1,77.631
2014,German Grand Prix,bottas,Williams,Mercedes,0,78.215
2014,German Grand Prix,hamilton,Mercedes,Mercedes,1,78.68299999999999
2014,German Grand Prix,vettel,Red Bull,Renault,0,78.194
2014,German Grand Prix,alonso,Ferrari,Ferrari,1,78.389
2014,German Grand Prix,ricciardo,Red Bull,Renault,0,78.117
2014,German Grand Prix,hulkenberg,Force India,Mercedes,0,78.92699999999999
2014,German Grand Prix,button,McLaren,Mercedes,0,78.425
2014,German Grand Prix,kevin_magnussen,McLaren,Mercedes,0,78.26
2014,German Grand Prix,perez,Force India,Mercedes,0,78.916
2014,German Grand Prix,raikkonen,Ferrari,Ferrari,1,78.53399999999999
2014,German Grand Prix,maldonado,Lotus,Renault,0,80.195
2014,German Grand Prix,vergne,Toro Rosso,Renault,0,78.496
2014,German Grand Prix,gutierrez,Sauber,Ferrari,0,78.739
2014,German Grand Prix,jules_bianchi,Marussia,Ferrari,0,79.676
2014,German Grand Prix,kobayashi,Caterham,Renault,0,80.408
2014,German Grand Prix,chilton,Marussia,Ferrari,0,80.489
2014,German Grand Prix,ericsson,Caterham,Renault,0,NA
2014,German Grand Prix,sutil,Sauber,Ferrari,0,79.142
2014,German Grand Prix,kvyat,Toro Rosso,Renault,0,78.53
2014,German Grand Prix,grosjean,Lotus,Renault,0,78.894
2014,German Grand Prix,massa,Williams,Mercedes,0,78.381
