Year,EventName,TeamName,DriverId,SessionCondition,FullThrottlePct,Q1_time,engine,works
2023,Canadian Grand Prix,AlphaTauri,de_vries,dry,47.77594728171334,83.137,Honda,0
2023,Canadian Grand Prix,Williams,sargeant,dry,47.77594728171334,83.337,Mercedes,0
2023,Canadian Grand Prix,Alfa Romeo,zhou,dry,47.77594728171334,83.342,Ferrari,0
2019,Japanese Grand Prix,Ferrari,vettel,dry,66.00910470409713,88.988,Ferrari,1
2019,Japanese Grand Prix,Ferrari,leclerc,dry,66.00910470409713,88.405,Ferrari,1
2019,Japanese Grand Prix,Mercedes,bottas,dry,66.00910470409713,88.896,Mercedes,1
2019,Japanese Grand Prix,Mercedes,hamilton,dry,66.00910470409713,88.735,Mercedes,1
2019,Japanese Grand Prix,Red Bull Racing,max_verstappen,dry,66.00910470409713,88.754,Honda,1
2019,Japanese Grand Prix,Red Bull Racing,albon,dry,66.00910470409713,89.351,Honda,1
2019,Japanese Grand Prix,McLaren,sainz,dry,66.00910470409713,89.018,Renault,0
2019,Japanese Grand Prix,McLaren,norris,dry,66.00910470409713,88.873,Renault,0
2019,Japanese Grand Prix,Toro Rosso,gasly,dry,66.00910470409713,89.411,Honda,1
2019,Japanese Grand Prix,Haas F1 Team,grosjean,dry,66.00910470409713,89.572,Ferrari,0
2019,Japanese Grand Prix,Alfa Romeo Racing,giovinazzi,dry,66.00910470409713,89.604,Ferrari,0
2019,Japanese Grand Prix,Racing Point,stroll,dry,66.00910470409713,89.594,Mercedes,0
2019,Japanese Grand Prix,Alfa Romeo Racing,raikkonen,dry,66.00910470409713,89.636,Ferrari,0
2019,Japanese Grand Prix,Toro Rosso,kvyat,dry,66.00910470409713,89.723,Honda,1
2019,Japanese Grand Prix,Renault,hulkenberg,dry,66.00910470409713,89.619,Renault,1
2019,Japanese Grand Prix,Renault,ricciardo,dry,66.00910470409713,89.822,Renault,1
2019,Japanese Grand Prix,Racing Point,perez,dry,66.00910470409713,90.344,Mercedes,0
2019,Japanese Grand Prix,Williams,russell,dry,66.00910470409713,90.364,Mercedes,0
2022,British Grand Prix,Ferrari,sainz,dry,50.53050397877984,100.19,Ferrari,1
2022,British Grand Prix,Red Bull Racing,max_verstappen,dry,50.53050397877984,99.129,Honda,1
2022,British Grand Prix,Ferrari,leclerc,dry,50.53050397877984,99.846,Ferrari,1
2022,British Grand Prix,Red Bull Racing,perez,dry,50.53050397877984,100.521,Honda,1
2022,British Grand Prix,Mercedes,hamilton,dry,50.53050397877984,100.428,Mercedes,1
2022,British Grand Prix,McLaren,norris,dry,50.53050397877984,101.515,Mercedes,0
2022,British Grand Prix,Alpine,alonso,dry,50.53050397877984,101.598,Renault,1
2022,British Grand Prix,Mercedes,russell,dry,50.53050397877984,100.028,Mercedes,1
2022,British Grand Prix,Alfa Romeo,zhou,dry,50.53050397877984,100.791,Ferrari,0
2022,British Grand Prix,Williams,latifi,dry,50.53050397877984,101.998,Mercedes,0
2022,British Grand Prix,AlphaTauri,gasly,dry,50.53050397877984,101.68,Honda,0
2022,British Grand Prix,Alfa Romeo,bottas,dry,50.53050397877984,101.396,Ferrari,0
2022,British Grand Prix,AlphaTauri,tsunoda,dry,50.53050397877984,101.893,Honda,0
2022,British Grand Prix,McLaren,ricciardo,dry,50.53050397877984,101.933,Mercedes,0
2022,British Grand Prix,Alpine,ocon,dry,50.53050397877984,101.73,Renault,1
2022,British Grand Prix,Williams,albon,dry,50.53050397877984,102.078,Mercedes,0
2022,British Grand Prix,Haas F1 Team,kevin_magnussen,dry,50.53050397877984,102.159,Ferrari,0
2022,British Grand Prix,Aston Martin,vettel,dry,50.53050397877984,102.666,Mercedes,0
2022,British Grand Prix,Haas F1 Team,mick_schumacher,dry,50.53050397877984,102.708,Ferrari,0
2022,British Grand Prix,Aston Martin,stroll,dry,50.53050397877984,103.43,Mercedes,0
2025,Azerbaijan Grand Prix,Red Bull Racing,max_verstappen,dry,60.53984575835476,101.331,Honda,1
2025,Azerbaijan Grand Prix,Williams,sainz,dry,60.53984575835476,102.635,Mercedes,0
2025,Azerbaijan Grand Prix,Racing Bulls,lawson,dry,60.53984575835476,102.257,Honda,1
2025,Azerbaijan Grand Prix,Mercedes,antonelli,dry,60.53984575835476,102.247,Mercedes,1
2025,Azerbaijan Grand Prix,Mercedes,russell,dry,60.53984575835476,101.646,Mercedes,1
2025,Azerbaijan Grand Prix,Red Bull Racing,tsunoda,dry,60.53984575835476,102.347,Honda,0
2025,Azerbaijan Grand Prix,McLaren,norris,dry,60.53984575835476,101.322,Mercedes,0
2025,Azerbaijan Grand Prix,Racing Bulls,hadjar,dry,60.53984575835476,101.656,Honda,0
2025,Azerbaijan Grand Prix,McLaren,piastri,dry,60.53984575835476,101.839,Mercedes,0
2025,Azerbaijan Grand Prix,Ferrari,leclerc,dry,60.53984575835476,101.458,Ferrari,1
2025,Azerbaijan Grand Prix,Aston Martin,alonso,dry,60.53984575835476,102.211,Mercedes,0
2025,Azerbaijan Grand Prix,Ferrari,hamilton,dry,60.53984575835476,101.821,Ferrari,1
2025,Azerbaijan Grand Prix,Kick Sauber,bortoleto,dry,60.53984575835476,102.511,Ferrari,0
2025,Azerbaijan Grand Prix,Aston Martin,stroll,dry,60.53984575835476,102.101,Mercedes,0
2025,Azerbaijan Grand Prix,Haas F1 Team,bearman,dry,60.53984575835476,102.666,Ferrari,0
2025,Azerbaijan Grand Prix,Alpine,colapinto,dry,60.53984575835476,102.779,Renault,1
2025,Azerbaijan Grand Prix,Kick Sauber,hulkenberg,dry,60.53984575835476,102.916,Ferrari,0
2025,Azerbaijan Grand Prix,Alpine,gasly,dry,60.53984575835476,103.139,Renault,1
2025,Azerbaijan Grand Prix,Williams,albon,dry,60.53984575835476,103.778,Mercedes,0
2019,Brazilian Grand Prix,Red Bull Racing,max_verstappen,dry,61.22047244094488,68.242,Honda,1
2019,Brazilian Grand Prix,Ferrari,vettel,dry,61.22047244094488,68.556,Ferrari,1
2019,Brazilian Grand Prix,Mercedes,hamilton,dry,61.22047244094488,68.614,Mercedes,1
2019,Brazilian Grand Prix,Ferrari,leclerc,dry,61.22047244094488,68.496,Ferrari,1
2019,Brazilian Grand Prix,Mercedes,bottas,dry,61.22047244094488,68.545,Mercedes,1
2019,Brazilian Grand Prix,Red Bull Racing,albon,dry,61.22047244094488,68.503,Honda,1
2019,Brazilian Grand Prix,Toro Rosso,gasly,dry,61.22047244094488,68.909,Honda,1
2019,Brazilian Grand Prix,Haas F1 Team,grosjean,dry,61.22047244094488,69.197,Ferrari,0
2019,Brazilian Grand Prix,Alfa Romeo Racing,raikkonen,dry,61.22047244094488,69.276,Ferrari,0
2019,Brazilian Grand Prix,Haas F1 Team,kevin_magnussen,dry,61.22047244094488,68.875,Ferrari,0
2019,Brazilian Grand Prix,McLaren,norris,dry,61.22047244094488,68.891,Renault,0
2019,Brazilian Grand Prix,Renault,ricciardo,dry,61.22047244094488,69.086,Renault,1
